,fips,covid_case*,population,percent_age_65_and_older,majority_race,female_to_male,high_school_graduation_rate,median_household_income,percent_adults_with_obesity,percent_smokers,violent_crime_rate,o3_mean_pred,pm25_mean_pred,mean_temp,2016_pres_election,percent_drive_alone_to_work,date_stay_at_home_effective
594,16029,13.97624039133473,7155.0,16.8,4.0,0.9701406833189778,91.0,61219.0,30.0,12.9,58.9,43.1,5.5,,1.0,73.5,0.0
595,16031,79.06783187682065,24030.0,13.3,4.0,0.9615577469496908,85.4,51804.0,37.6,13.6,188.1,41.2,6.4,47.9,1.0,79.2,0.0
596,16033,0.0,845.0,,4.0,0.8639575971731449,,,,,,41.0,6.2,,1.0,,
597,16035,0.0,8756.0,,4.0,0.7994517081400253,,,,,,36.1,8.2,,1.0,,
598,16037,46.349942062572424,4315.0,24.7,4.0,0.9135859519408502,93.0,47682.0,27.9,14.2,60.2,42.6,5.9,46.3,1.0,65.5,0.0
599,16039,112.68219984733379,27511.0,11.8,4.0,0.921617463922057,82.9,49344.0,35.2,15.6,181.0,39.7,6.6,55.0,1.0,80.7,0.0
600,16041,0.0,13876.0,,4.0,0.9623093030212384,,,,,,42.7,5.8,,1.0,,
601,16043,22.902511642110085,13099.0,16.2,4.0,0.9280478683620045,86.6,51155.0,29.7,14.0,81.5,41.8,6.0,51.3,1.0,79.5,0.0
602,16045,88.33922261484099,18112.0,21.4,4.0,1.0225663185691993,81.0,49857.0,37.6,14.1,183.4,37.9,8.3,57.8,1.0,74.9,0.0
603,16047,177.8773305224323,15179.0,16.5,4.0,0.9529533410882771,78.7,51302.0,33.7,14.6,157.7,39.9,6.9,50.3,1.0,83.7,0.0
604,16049,17.999640007199858,16667.0,24.1,4.0,0.9126806910330238,84.9,40569.0,31.9,14.1,135.2,37.5,7.4,49.0,1.0,66.2,0.0
605,16051,23.434099963174987,29871.0,10.5,4.0,0.97038315002516,89.7,61927.0,31.9,13.1,51.1,41.1,7.4,50.3,1.0,76.1,0.0
606,16053,430.11633622808455,24412.0,12.5,4.0,0.98287288062656,78.8,54020.0,31.8,14.8,277.8,40.0,7.6,50.3,1.0,79.8,0.0
607,16055,39.8317410695426,165697.0,16.9,4.0,1.0243524224322758,88.2,56188.0,26.4,14.2,255.3,36.5,10.7,48.8,1.0,81.6,0.0
608,16057,14.959609055550017,40108.0,11.7,4.0,0.9531115933982739,87.0,49538.0,23.8,13.6,105.3,36.9,8.8,51.1,0.0,67.5,0.0
609,16059,12.457954403886882,8027.0,27.0,4.0,0.9854070660522274,77.5,44248.0,24.0,15.2,174.8,40.6,7.8,,1.0,71.8,0.0
610,16061,0.0,3838.0,,4.0,0.9937434827945777,,,,,,37.0,7.9,,1.0,,
611,16063,540.439806187104,5366.0,12.6,4.0,0.9363802559414991,91.0,50464.0,28.8,14.8,177.1,40.6,6.6,50.3,1.0,69.3,0.0
612,16065,50.11652091111835,39907.0,6.2,4.0,0.9842777085927771,90.8,41827.0,27.1,15.5,53.7,41.4,7.0,51.3,1.0,69.3,0.0
613,16067,85.55539711963497,21039.0,15.3,4.0,0.984472049689441,76.8,53447.0,34.0,13.8,167.7,40.8,7.0,47.9,1.0,84.8,0.0
614,16069,195.5058404276381,40408.0,19.0,4.0,1.019786987027409,84.2,54476.0,30.9,15.0,144.8,37.1,8.3,56.0,1.0,82.0,0.0
615,16071,0.0,4531.0,,4.0,1.0056179775280898,,,,,,42.5,6.0,,1.0,,
616,16073,67.66472130592912,11823.0,16.5,4.0,0.9570225201994155,93.6,48192.0,39.3,15.5,183.4,38.3,6.9,55.0,1.0,72.4,0.0
617,16075,91.85420232975659,23951.0,17.0,4.0,0.994498297091957,86.8,51835.0,34.6,14.7,220.2,37.0,8.6,57.8,1.0,79.4,0.0
618,16077,39.057414399166774,7681.0,14.5,4.0,0.9405213869906353,87.2,51921.0,35.6,14.5,110.4,41.9,6.2,50.3,1.0,76.1,0.0
619,16079,0.0,12882.0,,4.0,1.0,,,,,,36.0,9.1,,1.0,,
620,16081,90.59463020919124,12142.0,8.1,4.0,0.893183415319747,89.0,68749.0,21.4,13.5,85.3,43.1,5.4,42.5,1.0,65.3,0.0
621,16083,382.1450770045351,86878.0,14.8,4.0,1.0331240421219163,79.6,51594.0,32.8,13.9,242.3,40.2,7.0,46.6,1.0,82.5,0.0
622,16085,17.5561797752809,11392.0,21.4,4.0,0.9627039627039627,87.1,60285.0,27.8,11.8,327.2,39.7,6.2,38.1,1.0,81.6,0.0
623,16087,304.10045124583087,10194.0,23.1,4.0,1.0234817813765182,89.8,43402.0,35.1,15.1,100.2,37.7,6.9,57.8,1.0,68.4,0.0
624,17001,64.18583326965691,65435.0,18.6,4.0,1.0425408281852102,91.5,55174.0,36.6,15.5,346.3,36.5,10.3,54.4,1.0,82.3,0.0
625,17003,138.86478042006596,5761.0,18.8,4.0,1.079803560466544,92.5,35249.0,26.2,21.6,1316.4,39.2,11.0,60.7,1.0,86.1,0.0
626,17005,73.05491294289541,16426.0,16.8,4.0,0.9429679479867685,91.7,54800.0,25.5,16.6,39.2,38.1,11.1,53.6,1.0,77.6,0.0
627,17007,586.4335873300463,53544.0,13.6,4.0,1.0047841524948609,91.3,74507.0,33.4,15.1,170.9,37.2,11.1,56.7,1.0,83.3,0.0
628,17009,152.02189115232594,6578.0,13.1,4.0,0.5575688073394496,92.5,55327.0,23.4,17.0,134.4,36.3,10.3,55.0,1.0,84.2,0.0
629,17011,45.972784111805815,32628.0,20.0,4.0,1.036774506240155,84.0,56099.0,27.4,14.7,131.7,36.9,11.0,56.9,1.0,83.0,0.0
630,17013,21.101498206372653,4739.0,22.7,4.0,0.9963310232368529,86.4,56099.0,36.2,14.8,,37.3,10.6,,1.0,79.5,0.0
631,17015,97.86787836420832,14305.0,23.0,4.0,1.017563117453348,93.6,51963.0,25.1,14.3,46.9,37.2,10.3,55.6,1.0,82.1,0.0
632,17017,543.3440355643369,12147.0,16.3,4.0,0.9727370194516771,84.8,52486.0,34.7,15.9,518.1,36.3,10.6,53.6,1.0,80.3,0.0
633,17019,207.450080833997,209689.0,11.1,4.0,1.0025037797444218,86.3,53251.0,30.8,15.8,487.2,37.0,11.4,53.4,0.0,70.2,0.0
634,17021,99.05894006934125,32304.0,18.5,4.0,0.9696009389671362,90.7,52936.0,29.2,15.7,184.7,36.9,11.1,53.1,1.0,81.4,0.0
635,17023,58.286380415776186,15441.0,18.7,4.0,1.0344959754695287,89.4,54092.0,36.8,16.1,189.1,36.9,11.2,52.8,1.0,81.2,0.0
636,17025,22.75485436893204,13184.0,18.9,4.0,1.0286276885792185,83.6,45427.0,23.5,15.8,59.8,37.6,11.4,54.3,1.0,83.8,0.0
637,17027,439.27373409296627,37562.0,15.9,4.0,0.9254181799580541,86.5,66597.0,38.9,15.0,146.2,38.5,11.2,56.4,1.0,84.3,0.0
638,17029,167.91450188656881,50621.0,15.1,4.0,1.068911202992715,93.8,47291.0,36.6,18.8,277.5,37.0,11.3,53.2,1.0,76.5,0.0
639,17031,1256.0790938973053,5150233.0,13.0,0.0,1.0618462441905865,88.2,63347.0,28.0,13.8,619.8,34.4,13.0,59.6,0.0,61.4,0.0
640,17033,58.927519151443725,18667.0,18.3,4.0,0.9086122976060396,88.6,52313.0,27.5,16.0,288.5,37.3,11.4,52.8,1.0,82.9,0.0
641,17035,83.59650752368569,10766.0,18.0,4.0,0.9987163029525032,87.4,60572.0,32.5,15.9,115.2,37.1,11.4,53.2,1.0,85.0,0.0
642,17037,255.4887175038371,104897.0,11.2,4.0,1.0192311409188426,89.9,63274.0,31.7,15.9,275.8,36.6,11.5,56.2,0.0,80.1,0.0
643,17039,25.57871850620284,15638.0,17.9,4.0,1.0007421150278293,87.3,55300.0,27.5,15.5,188.2,37.4,11.2,52.8,1.0,85.7,0.0
644,17041,133.57307988697661,19465.0,16.2,4.0,1.0276073619631902,96.5,56976.0,30.9,15.7,223.2,37.0,11.3,53.4,1.0,75.8,0.0
645,17043,668.6379440927229,922921.0,13.4,4.0,1.0375486249445145,94.3,93540.0,26.9,12.3,88.6,34.4,12.6,56.9,0.0,76.9,0.0
646,17045,0.0,17161.0,,4.0,1.0366770797176905,,,,,,36.7,11.0,,1.0,,
647,17047,31.27443315089914,6395.0,19.4,4.0,1.0416407706650093,98.4,51280.0,30.2,15.0,,38.1,11.5,55.5,1.0,84.6,0.0
648,17049,17.642907551164434,34008.0,16.7,4.0,1.0071676164737677,92.3,60773.0,27.2,15.1,180.8,37.3,11.5,54.0,1.0,85.7,0.0
649,17051,89.05136857892764,21336.0,16.8,4.0,0.8704791081610076,89.1,47484.0,24.2,17.4,135.3,37.7,11.1,56.5,1.0,85.0,0.0
650,17053,138.8781729804799,12961.0,19.6,4.0,1.0264781104257559,84.9,55357.0,25.2,16.4,252.3,37.2,11.1,54.1,1.0,80.4,0.0
651,17055,28.594452676180822,38469.0,19.4,4.0,1.0361620557455187,83.3,42071.0,26.6,17.8,160.3,38.8,11.4,59.3,1.0,83.6,0.0
652,17057,29.120559114735006,34340.0,18.9,4.0,0.9136185936914262,89.0,51258.0,28.8,16.8,115.3,36.1,10.8,53.0,1.0,85.4,0.0
653,17059,41.42502071251035,4828.0,22.6,4.0,1.1115151515151516,89.5,43330.0,23.0,17.0,179.7,38.9,11.2,58.9,1.0,85.5,0.0
654,17061,30.842778934381986,12969.0,18.4,4.0,0.9920682430410057,95.2,47314.0,28.2,16.9,202.9,36.8,10.5,55.0,1.0,83.4,0.0
655,17063,156.69683080659695,51054.0,12.9,4.0,1.000993877713286,93.8,79348.0,34.9,14.5,101.4,37.0,11.5,58.1,1.0,88.6,0.0
656,17065,24.64268112370626,8116.0,20.2,4.0,1.0417799752781212,98.7,53028.0,25.4,16.0,55.4,38.5,11.2,58.9,1.0,78.4,0.0
657,17067,67.7659814772984,17708.0,22.6,4.0,1.0107893867664868,82.2,53553.0,31.1,14.7,75.7,36.1,10.4,54.5,1.0,84.9,0.0
658,17069,26.171159382360635,3821.0,17.8,4.0,0.9166282818977429,91.8,41713.0,24.5,18.0,206.6,39.1,11.0,58.9,1.0,86.4,0.0
659,17071,120.37315678603672,6646.0,23.3,4.0,1.0349588719153937,82.0,53632.0,26.5,14.3,,35.9,10.5,53.4,1.0,84.2,0.0
660,17073,132.8890070124507,48913.0,18.5,4.0,1.0174319382364891,92.1,58042.0,36.6,14.7,129.8,36.4,10.7,55.6,1.0,86.3,0.0
661,17075,438.8876595116914,27114.0,20.5,4.0,1.0505116010952587,94.0,55247.0,29.0,15.6,136.4,37.1,11.1,57.6,1.0,82.1,0.0
662,17077,327.75330396475766,56750.0,13.1,4.0,1.0066191446028514,86.6,41445.0,23.7,18.8,418.5,39.0,11.2,60.1,0.0,78.7,0.0
663,17079,468.2622268470343,9610.0,17.9,4.0,1.0117252931323284,93.0,54552.0,24.9,14.9,,37.3,11.5,54.9,1.0,79.8,0.0
664,17081,265.36461097548033,37684.0,17.8,4.0,0.9479965466456757,86.0,47425.0,33.3,17.2,602.7,38.5,11.3,55.9,1.0,82.3,0.0
665,17083,87.26404262159556,21773.0,17.6,4.0,1.0465223399355137,84.5,59117.0,33.8,14.6,132.0,37.3,10.9,,1.0,85.4,0.0
666,17085,98.89333647280434,21235.0,24.4,4.0,0.9895316307192492,92.9,56832.0,28.7,13.2,131.1,37.1,9.9,55.6,1.0,80.6,0.0
667,17087,56.37432552146252,12417.0,19.0,4.0,0.7568782348134023,97.2,53884.0,24.6,16.5,262.1,39.2,10.9,,1.0,84.6,0.0
668,17089,879.409019107706,532403.0,11.7,4.0,1.0099395577694084,88.1,79834.0,28.8,13.1,165.7,35.6,12.1,56.9,0.0,79.7,0.0
669,17091,630.7913564289745,109862.0,15.0,4.0,1.035847496554892,93.2,53884.0,41.2,16.0,317.8,37.1,11.7,57.6,1.0,83.4,0.0
670,17093,458.9503062252888,128990.0,8.8,4.0,1.0218910873176428,95.3,93345.0,31.4,13.9,104.2,36.1,12.0,58.1,1.0,83.8,0.0
671,17095,179.07804986015816,49699.0,19.6,4.0,0.9699374976034357,86.8,44553.0,29.2,17.8,354.8,36.0,10.8,53.7,1.0,82.4,0.0
672,17097,963.1963935767764,696535.0,12.2,4.0,1.0022225569636802,90.9,87336.0,25.4,13.8,154.2,36.4,11.6,52.0,0.0,76.9,0.0
673,17099,111.34730235853833,108669.0,17.5,4.0,0.9912753721850983,85.5,54063.0,28.1,16.1,124.6,37.0,11.3,56.9,1.0,84.7,0.0
674,17101,25.513458349279244,15678.0,16.7,4.0,0.8216736772193934,79.0,43767.0,22.6,17.8,107.3,37.8,11.6,54.8,1.0,81.1,0.0
675,17103,219.96715157203192,34096.0,17.5,4.0,0.8868027210884354,83.4,54915.0,37.1,16.0,141.6,37.1,11.0,56.1,1.0,83.4,0.0
676,17105,75.74057450628365,35648.0,17.3,4.0,0.9487559555320275,93.7,59323.0,34.3,16.0,183.6,37.5,11.1,56.1,1.0,81.5,0.0
677,17107,34.94304284017053,28618.0,17.0,4.0,1.0449375866851596,82.2,52959.0,36.1,14.9,233.2,36.8,11.1,54.5,1.0,79.3,0.0
678,17109,242.57125530624623,29682.0,15.1,4.0,1.0302640879007903,89.3,42887.0,34.8,16.7,257.4,35.9,10.5,53.0,1.0,74.9,0.0
679,17111,397.69441213357857,307774.0,12.2,4.0,1.0067555682950822,93.1,86268.0,33.0,13.6,95.7,36.3,11.5,53.5,1.0,82.4,0.0
680,17113,110.1931586956395,171517.0,11.4,4.0,1.0542768033963026,91.6,67087.0,33.5,15.0,287.3,37.4,11.4,52.8,1.0,80.6,0.0
681,17115,163.44739397552135,104009.0,17.8,4.0,1.0915453255312118,84.8,50684.0,31.5,16.4,389.6,37.2,11.4,53.3,1.0,83.8,0.0
682,17117,93.48706762231225,44926.0,18.7,4.0,1.0254726543563528,87.9,53409.0,28.0,15.8,170.1,37.2,10.9,53.6,1.0,83.5,0.0
683,17119,189.75837180472,262966.0,15.6,4.0,1.0475355227830476,87.0,60121.0,36.9,16.5,248.7,37.7,11.4,55.8,1.0,85.3,0.0
684,17121,131.7027281279398,37205.0,18.4,4.0,1.039561258718918,82.1,46096.0,29.6,17.4,347.1,38.3,11.2,56.5,1.0,85.2,0.0
